AGL23	BIOGENESIS OF ORGANELLES
KEG	ABI5
CYPS	CONFORMATIONAL CHANGES
ATACDO1	OXIDATIVE STRESS RESPONSE GENES
ESR1-1	FUSARIUM OXYSPORUM
ATC3H17	FLOWERING TIME
PRE1	HLH4
ATPPT1	MESOPHYLL CELLS
RDRP	RNAI
GENE	HOMOLOGOUS CHROMOSOME SYNAPSIS
N219	FUCTA ACTIVITY
CCX1/CCX4	NUTRIENT REMOBILIZATION
DECAPPING2	DECAPPING1
MUTANTS	OTHER NPQ COMPONENTS
AAP2	VASCULAR SYSTEM OF COTYLEDONS
ARCK1	EXTRACELLULAR SIGNALS
GIG1	APC/C
AT3G25820/AT3G25830	ROOTS
OAS-TL	UNOCCUPIED ACTIVE SITE
RRP6L2	RRNA MATURATION AND SURVEILLANCE
ATCAMBP25	CANONICAL CAM
CHS, PYROA, PR-5, MEB5.2	BRASSINOSTEROID SIGNALLING
ATALKBH9B	AMV INFECTIVITY
AT2G04270	125 KDA PROTEIN
ABA	PLANT GROWTH
MIR172	PHOTOPERIODIC FLOWERING
PAP85	VRC ACCUMULATION
GRETCHEN HAGEN 3	PLANT HORMONE
AT2G24360	
NDH COMPLEX	ACCUMULATION OF CRR3
YODA	ATGPI8-1
PEX11	FIS1B
FLOR1	LEUCINE-RICH REPEAT PROTEIN
ATSFC1	PYRIDOXAL 5'-PHOSPHATE
SAT1 POLYPEPTIDE	PLASTID TRANSIT PEPTIDE
ABA	AT5G28520
VIP	PAF1C
MIR156A/C	VEGETATIVE PHASE CHANGE
INTEGRAL MEMBRANE PROTEIN	ATERDL6
HCEF1	CHLOROPLAST FRUCTOSE-1,6-BISPHOSPHATASE
PP7	POLYLYSINE
BAK1	BRI1
NAD-ME	AMINO ACID AND GLUCOSAMINE CONTENT
ABF3	ABA HYPERSENSITIVITY
TEK	AGPS
PAC	CHLOROPLAST-ENCODED TRANSCRIPTS
CRY2	CRY2-COP1 INTERACTION
ACBP1	PLDALPHA1
SMO1	CORRECT STEROL COMPOSITION
RUG1	FLC
GENE	PHLOEM LOADING
NADKC	PROTEINS IN PHOTOSYNTHETIC ORGANISMS
RG-II	CELL WALL
FTSH5/FTSH2	MAINTENANCE OF PHOTOSYNTHETIC COMPLEXES
ASML2	ATBETA-AMY EXPRESSION
ATHD2C	TOLERANCE TO SALT AND DROUGHT STRESSES
KHZ2	RNA-BINDING ABILITY
GENE	PHENYLPROPANOIDS
GM11B	NEW SELECTABLE MARKER FOR PLANT GENETIC TRANSFORMATION
S. CEREVISIAE MUTANTS	CLONING GENES INVOLVED IN PURINE BIOSYNTHESIS PATHWAY
ATSERK1	ALL CELLS OF DEVELOPING EMBRYO
PHOTOSYNTHESIS PROTEINS	RNA IN VIVO
AIP1	NON-MODIFIED HISTONES
STP4	MRNA LEVELS IN RESPONSE TO WOUNDING
JASMONATE	DEFENSE PHENOTYPE
UAH	CONVERSION
ALDH10A9	BETAINE ALDEHYDE/4-AMINOBUTYRALDEHYDE/3-AMINOPROPIONALDEHYDE
12-OXOPHYTODIENOIC ACID	JASMONIC ACID
VSP2	VANADATE AND MOLYBDATE
COENZYME A	VIA FIVE-STEP PATHWAY
ATIMD3	PLASTID
ATUTR1	ER
ORE7/ESC	CHROMATIN ARCHITECTURE
CMOT	STE11
SOS3	GLYCINE-2
PAT2	PUTATIVE AP-3 BETA
EER1 PRODUCT	ETHYLENE RESPONSES
ATPPRT1	MITOCHONDRIA
ANGULAR METHYL CONFIGURATION OF PENTACYCLIC/6-6-6-6 TETRACYCLIC PRODUCT	C17 CONFIGURATION OF TETRACYCLIC INTERMEDIATE 13
QUA2	PECTIN METHYLTRANSFERASE
IND	AUXIN DISTRIBUTION
PCHLIDE	DARK
CSI1 PRC1 BACKGROUND	TORSION
ATPOT1	TELOMERASE PATHWAY
SGS3	TASIRNA BIOSYNTHESIS
BZR1	BR BIOSYNTHETIC GENES
GSL1 AND GSL5	FORMATION OF CALLOSE WALL
PHOSPHORYLATION SITES	RKSNASRRSF(/L) AND TPRPSNL MOTIFS
STRIGOLACTONES	PLANT DEVELOPMENT
OSBC1L1 OSBC1L8	ENRICHMENT OF CELLULOSE
TOPP4	PIF5
COL3	FT
ADL1C	ADL1E
NRP	LEAF VEINS
CMI1	ICR1
SSE1 MUTANT EMBRYOS	NORMAL PEROXISOMES
ALB3	CPSRP
RUK	CELL PLATE FORMATION
GYRA AND GYRB	EUKARYOTES
PHL	CO
ATZAT4 (+/-)	REDUCED FERTILITY, SMALLER SILIQUE SIZE, LOWER NUMBER OF SEEDS PER SILIQUE, AND LOWER SEED VIABILITY AND GERMINATION
NHD1 MUTANTS	IN CHLOROPLASTS
ENDOGENOUS STRUCTURAL ASYMMETRY	DIRECTIONAL ROOT-TIP ROTATION
ATAAS	PHENYLACETALDEHYDE LEVELS
DXO1	CONNECTION BETWEEN RNA TURNOVER AND RETROGRADE CHLOROPLAST-TO-NUCLEUS SIGNALING
SMR1-1	VIRULENT PSEUDOMONAS SYRINGAE STRAIN
ATU2AF65B	FLOWERING TIME
PHB3	ICS1
OXI1	PTI1-2
TELOMERE	IN DEDIFFERENTIATED CULTURED CELLS
THYMIDINE KINASE (TK)	THYMIDINE MONOPHOSPHATE
SEC24A	ARABIDOPSIS CRINKLY4
CPSRP43	CPSRP POSTTRANSLATIONAL TARGETING ACTIVITIES
HOT1	FIRST MUTATION IN AN HSP IN ANY HIGHER PLANT
KOBITO1	PLASMODESMATAL PERMEABILITY
ATANP3	ATMKK6
PAP	DUE TO ATSAL1 PHOSPHATASE ACTIVITY SUPPRESSION
SPDS1	SPDS2
MAMMALIAN VILLIN	MICROVILLI OF BRUSH BORDER CELLS
ATQQS	RESISTANCE
AGL20	DIFFERENT PATHWAYS OF FLORAL INDUCTION
LBD16	LATERAL ROOT FORMATION
PAH LPCAT MUTANT	LPC
GGM	MUCILAGE ARCHITECTURE
CAP1-1	ELEVATED LEVELS OF CYTOPLASMIC NH(4)(+)
GSTLS	GENES UPON EXPOSURE TO CHEMICALS/OXIDATIVE STRESS
TGG1	MYROSINASE
MITOCHONDRIAL RETROGRADE SIGNALING	DEFECTIVE CYTOCHROME C MATURATION
ROC4	STROMA OF CHLOROPLASTS
STM	MERISTEM FUNCTION
ELF18/PARG1	DEFENSE-ASSOCIATED GENES
PHT4	PLASTID ENVELOPE
ATDPG1	ABI4
CLV2	STM-1 MUTATION
ECH	TGN
TRSV	DIFFERENTIAL REACTIONS
GENE	NUCLEAR SURFACE
ACIDIC CARBOXYL-TERMINAL DOMAIN	NUCLEOCYTOPLASMIC DISTRIBUTION
FUS3 LEC1 LEC2	EMBRYOGENIC POTENTIAL
APG7	SENESCENCE
MPK9/MPK12	IMPAIRS ABA-INDUCED STOMATAL CLOSURE
LBD4	PXY
PIF3/PIF4/PIF7	PHYB PROTEIN LEVELS
ATP	TREATMENTS
CCD8	CAROTENOIDS
MPK3/6	SPCH
ALIX	PLANT GROWTH
E2FA	FBL17 EXPRESSION
UNTREATED UGT74F2 LEAVES	NONE
IRX10-L	XYLAN ELONGATION
ARP2/3 COMPLEX	DENDRITIC ARRAYS OF FINE F-ACTIN
WRKY50	JA-INDUCIBLE PDF1.2 EXPRESSION
DUBS	UBIQUITINATION STATUS
CYP94B3 MUTANTS	JA-ILE
ATECA3	CA NUTRITION IN ARABIDOPSIS
IDA	HAE
GAPDH	RABBIT ACTIN
ETO1	VASCULAR CELL DIVISION
MAPK	AUXIN RESPONSE
ATNUDX26	GENE EXPRESSION
SP TOZ GENE	SCHIZOSACCHAROMYCES POMBE
CDT1 PROTEINS	DURING VEGETATIVE GROWTH AND REPRODUCTION
TYRAAT1/TYRAAT2	RAPID EQUILIBRIUM, RANDOM MECHANISM
T7 PHAGE	GMPM28
PUB12	CERK1
THIRD GLYCOSYLASE ACTIVITY	MUTANT ANALYSIS
PNC1	COUNTEREXCHANGE OF ATP WITH ADP/AMP
ATS40-1	NUCLEUS
MUM2	MUCILAGE EXPANSION
FBW2	ABA SIGNALLING AND/OR RESPONSE
UGT1	FORMING CELL PLATE
4-OH-ICN PATHWAY MUTANTS	PSEUDOMONAS SYRINGAE
PROTEINS RELATED TO THIS FAMILY	TRANSCRIPTION FACTORS
DATA ANALYSIS	IDENTIFY MOLECULAR ASSOCIATIONS
GS	DIOTAIOTA-VENUS
HSP21	PLASTID NUCLEOID
AMIRNA-SAT3	SULFATE
A. THALIANA PDK	SER RESIDUES NEAR N-TERMINUS
CAMALEXIN AND GLUCOSINOLATES	S. EXIGUA
SUE4	ROOT ELONGATION
FATB	SEED MORPHOLOGY
EPSIN-LIKE PROTEINS	AP COMPLEXES
ATDEK1	KEY COMPONENT OF EMBRYONIC L1 CELL-LAYER SPECIFICATION PATHWAY
CPR6-1 AND ACD2-2 MUTANTS	JA AND ET SIGNALING PATHWAYS
ATSWI3B	FCA
MCA2	DETERGENT-SOLUBILIZED STATE
MEKK1	MKK2
ARR2	ETHYLENE RESPONSES
HEAT SHOCK PROTEIN GENES	IN LHR1 MUTANT
ATTIP49A	R-DEPENDENT RESPONSES
PPR40	STRESS AND HORMONAL RESPONSES
GENE	PHOTOSYNTHETIC ELECTRON TRANSPORT RATE
POL IVB/POL V	HETEROCHROMATIN FORMATION
FO	INTENSE LIGHT
XYLOGEN	LOCAL AND INDUCTIVE CELL-CELL INTERACTIONS
TOO MANY MOUTHS	EPF1 POSITIONAL CUE
PHYA	FHY1
ACN1	ACETATE INTO ORGANIC ACIDS AND AMINO ACIDS
HINKEL	TRUNCATED RUK PROTEINS
KNOCKDOWN PLANT LINES	LESS ARSENIC IN ROOTS
AT3G47980	ROOTS
SPDS1	SPDS2
AVRPPHB	PBS1
AT1G78690	TAFAZZIN
QWRF2	MICROTUBULES
PRORP2/3	NUCLEUS
GIGANTEA/FLAVIN-BINDING KELCH REPEAT F-BOX1/CONSTANS	FLOWERING LOCUS T TRANSCRIPT ABUNDANCE
AT4G17360/AT5G47435	GLY LEVELS
ATXR6	H3K27
PMEI	PME ACTIVITY
ABF3	ABA SIGNALING
PEP	HEN4
ATHMGB11	DNA MINI-CIRCLE FORMATION
SEIPIN	LD NUMBERS AND SIZES
FLC	FLOWERING
DIX-LIKE DOMAIN	
CYCLOARTENOL SYNTHASE	CYCLOARTENOL
MASP1	MICROTUBULES IN VITRO
KIP MRNA	ALL ORGANS
ATMTSSB1 AND ATMTSSB2	MMEJ
SHR	GLC
AUXIN	SCF(TIR1)
ROPGEF7	PIN1 EXPRESSION
PRO-LYCOPENE	PLANT DESATURATION PATHWAY
ATCCR2	INCOMPATIBLE INTERACTION
ATWNK8	V1-COMPLEXES
APD1/2/3/4	MULTIPLE STAGES OF MALE GAMETOPHYTE DEVELOPMENT
YEAST TWO-HYBRID SCREENS	CDPK FAMILY
WRKY6	GENES
GUN4	MG-CHELATASE PRODUCT & SUBSTRATE
ATTIP1;1 KNOCKOUT MUTANT	UNDER OPTIMAL GROWTH CONDITIONS
DDM1	MUTANT ALLELE TRANSMISSION
MIRNAS	FOR PLANTS
CBNAC	PR1 PROMOTER
A. THALIANA	PSP ACTIVITY
HCF173	PSBA MRNA STEADY STATE LEVELS
35S PROMOTER	ZAT EXPRESSION
AT1G74450	MALE FERTILITY
RESTORERS OF FERTILTY	RF-LIKE PPRPS
RGS1	V-ATPASE
LSU	AUXIN
FLP-1 MYB88	ABIOTIC STRESS GENE TRANSCRIPTS
KCS1 EXPRESSION	DECARBONYLATION AND ACYL-REDUCTION WAX SYNTHESIS PATHWAYS
ATVAM3	33-KDA PROTEIN
PATHOGEN INFECTION	PARAMURAL VESICLES
SAV	DISMANTLING OF CELLULAR COMPONENTS
ROS	CELL DEATH
FBP24	PETUNIA
AUXIN	PIN ENDOCYTOSIS
ATCML5	CYTOSOLIC SURFACE
FRD3	SMALL ORGANIC MOLECULES
ATRMA2	ATRMA-PROMOTER::GUS TRANSGENIC ARABIDOPSIS PLANTS
GRXS15	YEAST DELTAGRX5 MUTANT
AVRRXO1	SINAT4
ARO1	FUTURE SITE OF TIP GROWTH
STRF1-1 MUTANT	REACTIVE OXYGEN SPECIES
MS1	SPCP GENES
LPCAT1	ACYL-EDITING
GENE	APOPTOSIS-LIKE PROCESSES
PRODH-SILENCED PLANTS	ROS AND CELL DEATH LEVELS
PLT4	PLT3PLT5PLT7 TRIPLE MUTANTS
RECOMBINANT SDG25 PROTEINS	HISTONE H3
VDAC1	NORMAL GROWTH
SYSTEMIC ACQUIRED RESISTANCE	FAD7, SFD1 AND SFD2
NHL2, NHL10	CHLOROPLASTS
CCE5	RLCK
35S	NST1/NST2 EXPRESSION
MTP8	FE UPTAKE FROM MN-CONTAINING LOW-FE MEDIUM
ATOSA1	IRON DISTRIBUTION
ATOSCA1.2	TWO UNIQUE LONG HELICES
ARGAH2 MRNA	ARABIDOPSIS
NB-LRR SIGNALING	VIRAL TRANSCRIPTS FROM ASSOCIATING WITH RIBOSOMES
TPST	PIN GENES
ABAPTS	S-ACYLATION LEVELS
LDS	FLOWERING OF ARABIDOPSIS THALIANA
LACCASE2	LIGNIN DEPOSITION
PYD1	PLASTID
NTEMB2738	PLASTID GENE EXPRESSION
RPK2	MERISTEM MAINTENANCE
GHR1	SLOW ANION CHANNEL-ASSOCIATED1
PRLIP5, PRLIP7	ANY TISSUES
LIGHT	EXPRESSION OF FTSH PROTEASE
ATOFP1	CELL ELONGATION
MUTANT BDG	PLEIOTROPIC EFFECTS ON GROWTH, VIABILITY, AND CELL DIFFERENTIATION
ETHE1	TWO HISTIDINES
PBA1	PLANT CASPASE-3-LIKE ENZYME
SHR/SCR	APP1-REGULATED ROS SIGNALING
FER	AT FILIFORM APPARATUS
ARGAH2 SILENCING	RESISTANCE TO B. CINEREA
MPL1	RESISTANCE TO GPA
RIE1	SEED DEVELOPMENT
UGT72B1	ADDITIONAL UGTS
WAK1	PLASMA MEMBRANE
DUO1	GERMLINE GENES
ATMIND1	ABNORMALLY LARGE AND FEWER CHLOROPLASTS
LIGHT	NO ACCUMULATION
CLB6	1-HYDROXY-2-METHYL-BUTENYL 4-DIPHOSPHATE REDUCTASE
ATAF2	NIT2 PROMOTER REGION
FAC1	DISORDERED LINKER REGION
ATIPMDH2	NAD(+)
ADF10	TURNOVER OF ACTIN FILAMENTS
NPR1	SA-INDUCED EXPRESSION OF PR GENES
COPT1-5	S. CEREVISIAE MUTANT
GENOME EDITING	SALT TOLERANCE
PERONOSPORA PARASITICA	DISEASE RESISTANCE
AIF1	PARTIALLY SUPPRESSES BRI1-301 PHENOTYPE
RGTB1	FEMALE GAMETOGENESIS
ECALKB	METHYLATION DAMAGE
TRXO1	PHOTORESPIRATORY CO2 RELEASE
MYB3R3	RBR1-DECORATED GENES
HDACS	MULTIPROTEIN COMPLEXES
CPN20	LIGHT
PECTIN-RELATED PROCESSES	RESPONSES TO PI DEFICIENCY
SIX NEW PROTEINS	PEROXISOMAL LOCALIZATION
GDG1	DEFENSE GENES
PHOTOTROPIN	PHOTOTROPISM
PHB3	SA PRODUCTION
EDR4	RESISTANCE
LTPG	WAX LOAD ON STEM SURFACE
PRF1	SIGNAL TRANSDUCTION PATHWAYS
STEROLS	CELL ELONGATION, SENESCENCE, AND FERTILITY
ATTOM20	PRESEQUENCE
DMNT	LARVAL GROWTH AND PUPATION
ARF3/ETTIN AND ARF4 MRNAS	IN NULL RDR6 AND SGS3 MUTANTS
INO80	100 ARABIDOPSIS GENES
BRS	SEEDLING SENSITIVITY TO AUXIN
EP5C	H2O2
GENE	PLUTELLA XYLOSTELLA LARVAE
ATCCMH	MITOCHONDRIA
TRXS	G6PDH
VPE	MATURATION OF VACUOLAR PROTEINS
EIN2	SALT TOLERANCE
MEJA	PRIMARY ROOT GROWTH
DIM1	FRUCTOSE, GLUCOSE AND SUCROSE LEVELS
BR	ARL
ATTZF1	DARK AND WOUND STRESSES
LUT5	BETA-RING OF ALPHA-CAROTENE
DEVIL1	SMALL PROTEIN
SEP4	PETALS, STAMENS, CARPELS, AND SEPALS
PLD GENES	REMODELING
PBS3	VIRULENT STRAIN OF P. SYRINGAE
C-TERMINAL DOMAIN	MICROTUBULE BUNDLING
CA2+-BINDING PROTEIN	LIGHT-DEPENDENT ACCUMULATION OF HY5
GI	FLOWERING TIME
CIPK23	NACL SENSITIVITY IN STOP1
TAPX SILENCING	CBF1 EXPRESSION
ATCCX3	INCREASED NA(+) ACCUMULATION
IDM2	ACTIVE DNA DEMETHYLATION
AHP2-2 AHP3 AHP5-2/+ TRIPLE MUTANT OVULES	CENTRAL CELL AND ANTIPODAL CELL FATES
ACT1	MATURE POLLEN, GROWING POLLEN TUBES, AND OVULES
ATPAP26	APASE ACTIVITY
SAR1C	SAR1B
NUWA	MITOCHONDRIA
PABP	TRANSLATIONAL INITIATION
ECS1	LURE1
ABA-DEFICIENT ABA3-1 MUTANT	HIGH SALINITY
SUV2	HALTING CELL CYCLE PROGRESSION
BG14	ABA RESPONSE
CBP60G	CBP60A REPRESSION
HESO1	URT1
ATWRKY3/ATWRKY4 DOUBLE MUTANT	WT PLANTS
ATIPK1	IP6
SAIGINOLS	UV LIGHT TOLERANCE
KCBP	MITOTIC SPINDLE
ATBI-1	SCFAH1
RAB-GDI PROTEINS	GDP BOUND RAB PROTEINS
ATCS	TRANSCRIPT LEVELS
PHOSPHOLIPASE D (PLD)	PHOSPHOLIPIDS
SEC12P	ER
RNA-BINDING PROTEINS (RBPS)	RNA FUNCTION AND FATE
ATBZIP61	ATBZIP34
BAK7	BRI1 MUTANT PHENOTYPE
BIN2	EGL3
SAUR36	EXPRESSION BY AUXINS
ABI3	EMBRYO DEVELOPMENT
ATUSP	PLANT TOLERANCE TO COLD STRESS
BAT1	AMINO ACID EXPORT FROM PHLOEM INTO SINK TISSUES
SNC2-1D	RLP
HO2-1 PLANTS	CHLOROPHYLL ACCUMULATION
LIF2	CELL-AUTONOMOUS IMMUNITY
PPB	FUTURE CORTICAL DIVISION PLANE
UBC13	UEV1
CATION FLUXES	POSITIVE FEEDBACK LOOP
ACGGAT MOTIF	MYC3
ABCB21	AUXIN CONCENTRATIONS
PLANTS	PHOSPHOLIPIDS
PLETHORA2	BPS TRIPLE-MUTANT EMBRYOS
SDG4	FERTILIZATION
ERF96	NUCLEUS
NOA1	SUBCELLULAR LOCALIZATION
ESR	NUCLEUS
E2F-DP	FLP'S CIS-REGULATORY ELEMENT
S96	SEVERE SYMPTOMS
ATNRAMP3	CKS
MIR399	UBIQUITIN-CONJUGATING E2 ENZYME
PHT4	LEAVES
HCF173 AND CP33C	DIFFERENT LOCATIONS ON PSBA MRNA
ATAGP30	ROOT REGENERATION
BLOCKING FLAVONOID BIOSYNTHESIS	ROL1-2 SHOOT PHENOTYPE
ABCG26	MS2
DME	MEA EXPRESSION
CHX21 CHX23	TURN TOWARD OVULES
OCP3	ABA-MEDIATED SIGNAL TRANSDUCTION PATHWAYS
GENES ENCODING ORTHOLOGUES	VARIOUS TISSUE TYPES
ATGT11	POLLEN
EVR1	EVR1L1
LIPID DROPLETS	IN MUTANT POLLEN
DI19	TRANSCRIPTION
STA1	SIRNA ACCUMULATION
HPT	PHYTYL DIPHOSPHATE
ATGA2OX7	ANCYMIDOL
ATR, ALT2, SOG1	SUITE OF GENES
MSG2/IAA19	WHOLE NPH4/ARF7 PROTEIN IN VITRO
RPL4	TRANSCRIPTION FACTOR CDF2
FLG22	CALLOSE DEPOSITION
WOX13	CALLUS FORMATION
DPB3-1	DREB2A
ULT1	ATX1
ATE2F-A	ATDP-A
BOR1	PLASMA MEMBRANE
SOFLS	CYTOPLASM/NUCLEUS
PEP	FLC EXPRESSION AT BOTH TRANSCRIPTIONAL AND POST-TRANSCRIPTIONAL LEVELS
ETHE1	ESTERASE ACTIVITY
AT5G15860	HEAT STRESS RESPONSE
PFP	REDUCED CO2 ASSIMILATION
ATBAG7	UPR
GIBBERELLIN 3BETA-HYDROLASE GENE	2 NEW MUTATIONS
ATP11P	CPATPASE BETA SUBUNIT
TCV CP	HYPERSENSITIVE RESPONSE
AUG3	MTS
GPI	SETH1/2
DSB REPAIR	NHEJ MUTANT LINES
ER	ER STRESS
PMEIL	POLLEN FERTILITY
GENE	MICROTUBULE ARRAYS
ATCUL1	ARABIDOPSIS EMBRYOGENESIS
GPROTEIN	GALPHA, GBETA, GGAMMA
HOS3-1	CIG30
SITE II ELEMENTS	GENES INVOLVED IN ORGANELLAR FUNCTIONS
ARABIDOPSIS THALIANA DCP2	CAPPED MRNAS
CHL1	HIGH-AFFINITY UPTAKE
ATCHIP	PP2A
CULLIN3	OTHER PROTEINS
NPR1	AHBP-1B
RIBULOSAMINE KINASE	ERYTHRULOSE-EPSILON-LYSINE
CELL GROWTH	CELL DIVISION
MAPKS	SUBSTRATE PROTEINS
OSCHX GENES	RICE SUBSP. JAPONICA
CCA1	FLORAL TRANSITION
PTLPD1/2	ARSENITE
GAD2	ISOFORM-SPECIFIC GENE EXPRESSION
MYB82	NUCLEUS
ATPPRT3	ENDOPLASMIC RETICULUM MEMBRANE
IGI1	MAX3
PHOTOSYSTEM I	NADP(+) REDUCTION
ATIPT3 AND ATIPT7	TISSUE-SPECIFIC MANNER IN SOB5-D MUTANTS
ZAR1	GBETA
GENE	PHENOTYPE IDENTICAL TO ORIGINAL MUTANT
ATGT2L	CAM
PATHOGENESIS-RELATED GENE EXPRESSION	SALICYLIC ACID
CPN10	PROTEIN FOLDING
FKBP20-2	MONOMER AND DIMER BUILDING BLOCKS
XDH	RETARDED GROWTH PHENOTYPE
ATPPRT1	STOMATAL APERTURE
TOM20	IMPORT FOR SOME PRECURSOR PROTEINS
GLUTATHIONE REDUCTASE	MITOCHONDRIA AND CHLOROPLASTS
CENTRIN	TON1
LPE2	RESPONSE OF C/N BALANCE
STRIGOLACTONE	NEGATIVE IMPACT OF HXK1 DEFICIENCY
LEUNIG	APETALA1
ATNSE3	PROPER EARLY EMBRYONIC DEVELOPMENT
CUAO INHIBITORS	ABA-INDUCED STOMATAL CLOSURE
GOLGI RESIDENT PROTEIN	TRANSFER SA
PFK	DIFFERENT TISSUES
POSTTRANSLATIONAL MODIFICATIONS OF HISTONES	CHROMATIN STRUCTURE
PERMEABLE LEAVES 1 (PEL1)	ALLELE OF ABCG11/WBC11
DEFECT	CONVERSION OF UDP-D-XYLOSE TO UDP-L-ARABINOSE IN MICROSOME FRACTION OF LEAF MATERIAL
P0	SKP1
RCCR	ATRCCR
MG-DECHELATASE	MENDEL'S GREEN COTYLEDON GENE
ABA3	PYRIDOXAL PHOSPHATE COFACTOR
RNASE J	ENDORIBONUCLEASE AND 5' --> 3' EXORIBONUCLEASE ACTIVITIES
LIGHT INTENSITY	CHROMATIN COMPACTION REDUCTION
ELO	K(3) CLASS HERBICIDES
IDA	LIKE AUX1-3
ATDPH1	DIPHTHAMIDE MODIFICATION OF EEF2
TRANSGENIC BAX PLANTS	ATBI-1
ACX1	GERMINATION FREQUENCY
DRD1	DMS3
SACCHAROMYCES CEREVISIAE	ASSEMBLY OF AN FE/S CLUSTER IN HCF101
SYP121	EXOCYTOSIS
ABA	H2O2 PRODUCTION
BON1	CA(2+)-DEPENDENT PHOSPHOLIPID-BINDING DOMAIN
FY	CHROMATIN SILENCING
THI2.1	CHLOROPHYLL LOSS
PSE1	PDR12 EXPRESSION
ATSERPIN1	ATMC9
GENE	SUCROSE, GLUCOSE, FRUCTOSE
ACR11	GLN2
C-TERMINAL EFFECTOR DOMAIN	SHORT PRIMARY ROOTS AND SHORT HYPOCOTYLS
CRY3 GENE	ENDOSYMBIOTIC ANCESTOR OF CYANOBACTERIA
SCL23	SCR
ACD2-2 PROTOPLASTS	FB1
ATARP7	TRANSCRIPTIONAL REGULATION
GENE	SERINE ACETYLTRANSFERASE
AT4G13280/AT4G13300	IN LEAF HYDATHODES AND FLOWER STIGMATA
ROF1	ROF1(-) KNOCK OUT MUTANTS
GENE	EARLY EMBRYO AND ENDOSPERM DEVELOPMENT
ARC6	CJD1 VIA J-LIKE DOMAIN
ATROP10	POLYBASIC DOMAIN
BR	5000 GENES IN WILD-TYPE PLANTS
WRKY54	RESPONSE TO NECROTROPHIC PATHOGENS
NIP1;1	AS(III)
CRYPTOCHROME 1	NUCLEUS AND CYTOPLASM
HAF2	TAF1
SCF	11 CULLIN-RELATED GENES
FRET	FLUORESCENCE EXCITATION
N-GLYCOSYLATION	DIFFERENT LAYERS OF PLANT IMMUNITY
ATSDR2	UNDER NORMAL/STRESS CONDITIONS
TGD1	ABC TRANSPORTER
14-3-3 EPSILON PROTEIN	REM
XET	VASCULAR TISSUE
NHL10	SA
NAM PROTEIN	DEVELOPMENT OF EMBRYOS AND FLOWERS
KOR1	INTRACELLULAR COMPARTMENTS
STOP1	CIPK23
ATPEP1	SYNTHETIC HOMOLOGS
GENE	ION TRANSPORT
QKY	POQ
T-DNA INSERTION	ATSNAP33 FUNCTION
BGLC3	XYLOGLUCAN METABOLISM
XIK MYOSIN	IRREGULAR SIZE, BRANCH POSITIONING, AND BRANCH EXPANSION OF LEAF TRICHOMES
SOD7	KLUH PROMOTER
PIN5	AUXIN FLOW FROM CYTOSOL TO LUMEN OF ER
CRP	FT, TSF, FD
CRISPR/CAS9	MDS GENES
ATSOFL1	CYTOKININ CONTENT
GAMMA-GT	MAMMALIAN ENZYMES
SUB	
DCL4 MUTANTS	GENOTOXIC STRESS
BASS1	SALMONELLA ENTERICA PANS PANTOATE/KETOPANTOATE TRANSPORTER
ATGRXS8	MAJOR ALTERATIONS IN ROOT SYSTEM ARCHITECTURE
ATMYB41	CELL EXPANSION AND CUTICLE DEPOSITION
CBL4	AKT2
EIN3	EBF1/EBF2
RRNA	POST-MATURATION FRAGMENTATION PROCESSING
MOM GENE	METHYLATION
CLADES	SPECIFIC MOTIF PATTERNS
CH2	N-TERMINAL HEADPIECE
FHY3	RED LIGHT PULSES
ATE1	CELL DEATH
PROTEINS	TANDEM MASS SPECTROMETRY
SCO1	SINGLE TRANSMEMBRANE DOMAIN
ATKU	ATWEX EXONUCLEASE ACTIVITY
ECD2	EARLY CHLOROPLAST DEVELOPMENT
CRK2	ROS PRODUCTION
TSK	TSA1
ATPOT1B	G-RICH-STRAND OF TELOMERIC DNA
ATOCT1	DEVELOPMENTAL DEFECTS INDUCED BY EXOGENOUS CARNITINE
GENE	EXPRESSION IN ECOTYPE WASSILEWSKIJA
WRKY46, WRKY70, WRKY53	SA-SIGNALING PATHWAY
EYFP-CENH3(C) EXPRESSION	ENDOGENOUS CENH3
ATBZIP18	ATBZIP52
SYT1	DIACYLGLYCEROL
MYB92	TWO ADJACENT MYB CIS-REGULATORY ELEMENTS
MYA2	ACTIN FILAMENTS
PLANTACYANIN	ANTHER DEHISCENCE
MKK3	MPK7 ACTIVATION
ARA7	VPS9A
TRX O1	PLANT GROWTH IN CONSTANT LIGHT
SOS3	SALT TOLERANCE
STRUCTURE	MOLECULAR INSIGHTS INTO PLANT PHY SIGNALING
CYSTEINE-RICH SUBDOMAIN	ARVP ACTIVITY
AT4G05160	MEDIUM-CHAIN FATTY ACIDS
ATSWP1/ATCZS	FLOWERING
CCMF	INTEGRAL PROTEINS
FLOE1	ADAPTIVE GERMINATION STRATEGIES
RECOMBINANT ESCHERICHIA COLI STRAIN	ARABIDOPSIS THALIANA GENE
CDC48	MICROTUBULES
GENE	BRANCH ELONGATION
BSKS	BRI1
NRG2	NRT1.1 EXPRESSION
RMF	POLLEN MATURATION
ATTBP1	DNA
3BETAHSD/D GENE	3BETA-HYDROXY-4BETA,14-DIMETHYL-5ALPHA-ERGOSTA-9BETA,19-CYCLO-24(24(1))-EN-4ALPHA-CARBOXYLIC ACID
BGLU18 KNOCK-OUT MUTANT	ER BODIES
COP1	FT TRANSCRIPTION
